,sentences,entity_1_mention,entity_2_mention,type,kfold
93,"in this article, the modulatory effects of extracts from  <e1> vinegar-baked radix bupleuri </e1> <e2> saikosaponins </e2> saikosaponins on the activity of cyp1a2, cyp2c9 and cyp3a4 were investigated in vitro.",vinegar-baked radix bupleuri,saikosaponins,SPECULATIVE,1
94,"during treatment, an increase in international normalized ratio (inr) and her admission that she was taking a variety of natural products, to include boldo and  <e1> fenugreek </e1> , led us to suspect that some of these natural products could alter t <e2> warfarin </e2> t of warfarin.",fenugreek,warfarin,POSITIVE,1
95,"methods: this was an open label, three-way crossover randomized study in 12 healthy male subjects, who received a single 25 mg dose of  <e2> warfarin </e2>  alone or after 7 days pretreatment with recommended doses of ginkgo or  <e1> ginger </e1>  from herbal medicine products of known quality.",ginger,warfarin,SPECULATIVE,1
96,also co-administration of  <e1> gce </e1>  (50 mg <e2> insulin </e2>  with insulin caused a significant reduction inthe n-fbgl at 2.5 (p<0.001) and 3.5 h (p<0.01) compared to insulin alone.,gce,insulin,POSITIVE,1
97,"herbal medicine regimens containing radix bupleuri,  <e1> fructus gardenia </e1> , fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, cl <e2> olanzepine </e2> nd olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",fructus gardenia,olanzepine,POSITIVE,1
98,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam <e2> saquinavir </e2> r, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,saquinavir,POSITIVE,1
99,"aim:  <e1> fruit </e1>  juice reduces the plasma concentration <e2> β-adrenoceptor blockers </e2> ptor blockers, likely by inhibiting oatp2b1-mediated intestinal absorption.",fruit,β-adrenoceptor blockers,POSITIVE,1
100," <e1> st john's wort </e1>  also enhances the metabolism of other cyp3a4 substrates including the proteas <e2> indinavir </e2> ors indinavir and nevirapine, oral contraceptives, and tricyclic antidepressants such as amitriptyline.",st john's wort,indinavir,POSITIVE,1
101,"aim: to examine the growth inhibitory effects of phyllanthus emblica (p. emblica) and  <e1> terminalia bellerica </e1>  (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with do <e2> cisplatin </e2>  or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and t. bellerica extracts either alone or in combination with doxorubicin or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",terminalia bellerica,cisplatin,SPECULATIVE,1
102, <e1> st. john's wort </e1>  can speed up the body's elimina <e2> drugs </e2> of some drugs.,st. john's wort,drugs,POSITIVE,1
103,"for example, induction of cyp3a4 by  <e1> st. john's wort </e1>  may partly provide an explanation for the enhanced plasma clearance of a number of dr <e2> cyclosporine </e2>  cyclosporine and innadivir, which are known substrates of cyp3a4, although other mechanisms including modulation of gastric absorption and drug transporters cannot be ruled out.",st. john's wort,cyclosporine,POSITIVE,1
104,significant (p < 0.001) improvement was observed in the activities of enzymatic and non-enzymatic antioxidants in patients treated with sesame oil and its combination with glibenclamide. conclusions:  <e1> sesame </e1>  oil exhibited synergistic <e2> glibenclamide </e2> glibenclamide and can provide a safe and effective option for the drug combination that may be very useful in clinical practice for the effective improvement of hyperglycemia.,sesame,glibenclamide,POSITIVE,1
105,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, <e2> cyclosporine </e2>  cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",st. john's wort,cyclosporine,POSITIVE,1
106,"other herbal remedies with the potential to modulate  <e2> cytochrome p450 </e2>  activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica, ginseng, garlic preparations,  <e1> danshen </e1>  and liquorice.",danshen,cytochrome p450,POSITIVE,1
107,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs (caffeine, midazolam, dextromethorphan, tolbutamide,  <e1> omeprazole </e1> , chlorzoxazone) were simultaneously given to rats after different dosing of radix <e2> vinegar-baked radix bupleuri </e2> adix bupleuri for seven days.",omeprazole,vinegar-baked radix bupleuri,SPECULATIVE,1
108,"subject sedation and electroencephalograph effects were also measured following midazolam dosing. results: compared with placebo, the curcuminoid/ <e1> piperine </e1>  treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metabolite levels of midazolam, flu <e2> paracetamol </e2> r paracetamol (α = 0.05, paired t-tests).",piperine,paracetamol,NEGATIVE,1
109,"aims: this study investigated the pharmacokinetic and pharmacodynamic interactions of  <e1> echinacea </e1>  and poli <e2> warfarin </e2> with warfarin in healthy subjects. Methods: this was an open-label, randomized, three-treatment, cross-over, clinical trial in healthy male subjects (n= 12) of known cyp2c9 and vkorc1 genotype who received a single oral dose of warfarin alone or after 2 weeks of pre-treatment with each herbal medicine at recommended doses.",echinacea,warfarin,SPECULATIVE,1
110,"aims: this study investigated the pharmacokinetic and pharmacodynamic interactions of echinacea and  <e1> policosanol <e2> warfarin </e2> with warfarin in healthy subjects. Methods: this was an open-label, randomized, three-treatment, cross-over, clinical trial in healthy male subjects (n= 12) of known cyp2c9 and vkorc1 genotype who received a single oral dose of warfarin alone or after 2 weeks of pre-treatment with each herbal medicine at recommended doses.",policosanol,warfarin,SPECULATIVE,1
111,"aims: herbal products, spices and/or fruits are perceived as inherently healthy; for instance,  <e1> st. john's wort </e1>  (sjw) is marketed as a natural antidepressant and patients often self-administer it concom <e2> oncology medications </e2> y medications.",st. john's wort,oncology medications,SPECULATIVE,1
112,"as hops (humulus lupulus l.) are used in the brewing of beer and by menopausal women as estrogenic dietary supplements, the potential for  <e2> hop </e2>  extracts and hop constituents to cause drug-botanical interactions by inhibiting human  <e1> cytochrome p450 </e1>  enzymes was investigated.",cytochrome p450,hop,POSITIVE,1
113,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs (caffeine, midazolam, dextromethorphan, tolbutamide,  <e1> omeprazole </e1> , chlorzoxazone) were simultaneously given to rats after differe <e2> radix bupleuri </e2> adix bupleuri or vinegar-baked radix bupleuri for seven days.",omeprazole,radix bupleuri,SPECULATIVE,1
114,"for example, induction of cyp3a4 by  <e1> st. john's wort </e1>  may partly provide an explanation for the enhanced plasma clearance of a number of drugs, such as cyclosporine and innadivir, which are known substrates of cyp3a4, although other mechanisms including modulation of gastric ab <e2> drug transporters </e2>  transporters cannot be ruled out.",st. john's wort,drug transporters,POSITIVE,1
115,"), was given to the rabbits and the blood samples were withdrawn at different time intervals (0, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 36 h) from marginal ear vein after dosing and theophylline in plasma was analyzed by hplc method. results: it was observed that there a significant differences in the cmax, auc, aumc, t1/2, and mrt of theophylline when coadministered with commiphora myrrha which indicate that the herb affect the metabolism and elimination when coadministered with theophylline . conclusion: our results suggested that concurrent use of investigated  <e1> herb </e1>  alters the pharmac <e2> theophylline </e2>  theophylline.",herb,theophylline,POSITIVE,1
116,"conclusions:  <e1> ginkgo </e1>  and ginger at recommended doses do not significantly affect clotting status, the pharmacokinetics or pharmac <e2> warfarin </e2> s of warfarin in healthy subjects.",ginkgo,warfarin,NEGATIVE,1
117,"aim: to examine the growth inhibitory effects of phyllanthus emblica (p. emblica) and terminalia bellerica (t. bellerica) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with doxorubicin or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and  <e1> t. bellerica </e1>  extracts either alone or in combination with do <e2> cisplatin </e2>  or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",t. bellerica,cisplatin,SPECULATIVE,1
118,intake of  <e1> st john's wort </e1>  increases the expression o <e2> p-glycoprotein </e2> -glycoprotein and the expression of cyp3a4 in the liver and intestine.,st john's wort,p-glycoprotein,POSITIVE,1
119,"isoxanthohumol from hops was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas  <e1> 8-prenylnaringenin </e1>  was the most potent inhibitor of cyp1a2 <e2> cyp2c19 </e2> 9 and cyp2c19 with ic50 values of 1.1 μm, 1.1 μm and 0.4 μm, respectively.",8-prenylnaringenin,cyp2c19,POSITIVE,1
120,"previous in vitro studies indicate that curcuminoids and  <e1> piperine </e1>  (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, cyp <e2> sult </e2>  ugt and sult dependent drug metabolism.",piperine,sult,POSITIVE,1
121,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic dru <e2> warfarin </e2> ding warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",ginko biloba,warfarin,POSITIVE,1
122,"for example, we observed 48.2% (1.63 ng/ml  <e2> digoxin </e2> ) increase in digoxin concentration when an aliquot of digoxin pool 1 (1.10 ng/ml digoxin) was supplemented with 50 microl of  <e1> asian ginseng </e1>  extract (brand 2).",asian ginseng,digoxin,POSITIVE,1
123,"aim: to assess the effects of radix bupleuri and vinegar-baked radix bupleuri on cytochrome 450 activity of rats. methods: six probe drugs (caffeine,  <e1> midazolam </e1> , dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after differe <e2> radix bupleuri </e2> adix bupleuri or vinegar-baked radix bupleuri for seven days.",midazolam,radix bupleuri,SPECULATIVE,1
124,"aim: to examine the growth inhibitory effects of phyllanthus emblica (p. emblica) and terminalia bellerica ( <e1> t. bellerica </e1> ) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic effect with do <e2> cisplatin </e2>  or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and t. bellerica extracts either alone or in combination with doxorubicin or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",t. bellerica,cisplatin,SPECULATIVE,1
125,"aim: to investigate the cytotoxic effects of spray-dried extracts of  <e1> phyllanthus niruri </e1>  in comb <e2> cisplatin </e2> ith cisplatin on two cancer cell lines. methods: colorectal carcinoma (ht29) and human hepatocellular carcinoma (hepg2) cells were treated with spray-dried extracts of phyllanthus niruri (sdepn) either alone or in combination with cisplatin at different concentrations (0.5 mg/ml and 1 mg/ml) for 4 h and 24 h. to verify and quantify cancer cells treated with these products as well as identify the cell cycle stage and cell viability, we stained the cells with propidium iodide and assessed them by flow cytometry.",phyllanthus niruri,cisplatin,SPECULATIVE,1
126," <e2> anticoagulants </e2> , nsaids, anti-platelet agents: lavender contains varying amounts of  <e1> coumarins </e1>  and may therefore theoretically increase the effect of anticoagulant medications.",coumarins,anticoagulants,POSITIVE,1
127,"other herbal remedies with the potential to modulate  <e2> cytochrome p450 </e2>  activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica,  <e1> ginseng </e1> , garlic preparations, danshen and liquorice.",ginseng,cytochrome p450,POSITIVE,1
128,"other herbal remedies with the potential to modulate  <e2> cytochrome p450 </e2>  activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica, ginseng,  <e1> garlic </e1>  preparations, danshen and liquorice.",garlic,cytochrome p450,POSITIVE,1
129, <e1> streptozo <e2> nicotinamide </e2> -nicotinamide-induced diabetic and normal rats were gavaged by cinnamon and/or metformin for 14 days.,streptozotocin,nicotinamide,POSITIVE,1
130,"aim: the present study was conducted to investigate the effect of commonly used herb  <e1> commiphora myrrha </e1>  on the pharmacokineti <e2> theophylline </e2>  theophylline (narrow therapeutic index drug) in rabbits. methods: in the experimental groups, theophylline (16 mg/kg) was given orally to the rabbits.",commiphora myrrha,theophylline,SPECULATIVE,1
131,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, <e2> indinavir </e2> am, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,indinavir,POSITIVE,1
132,"in this study, we investigated the effects of a. paniculata extract (ape) and  <e1> andrographolide </e1>  on the e <e2> drug-metabolizing enzymes </e2> izing enzymes in rat liver and determined whether modulation of these enzymes changed the pharmacokinetics of tolbutamide.",andrographolide,drug-metabolizing enzymes,SPECULATIVE,1
133,"platelet aggregation was performed using a dual channel aggregometer, by the turbimetric technique using adenosine diphosphate 5 micromol and 10 micromol, and collagen 1 microg ml(-1). results: platelet inhibition with the combination of  <e1> g. bilob <e2> clopidogrel </e2> d clopidogrel or cilostazol was not statistically significant compared with individual doses of drugs, with all the three aggregants.",g. biloba,clopidogrel,NEGATIVE,1
134,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, <e2> irinotecan </e2> s, irinotecan, and imatinib in humans have been reported.",st. john's wort,irinotecan,POSITIVE,1
135,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, iri <e2> imatinib </e2>  and imatinib in humans have been reported.",st. john's wort,imatinib,POSITIVE,1
136,"the % increase in felodipine auc with the initial  <e2> grapefruit </e2>  juice treatment compared with water correlated with the % increase in  <e1> felodipine </e1>  cmax among individuals (r = 0.80, p < 0.01).",felodipine,grapefruit,POSITIVE,1
137,"anticoagulants,  <e1> nsaids </e1> , anti-plat <e2> lavender </e2> nts: lavender contains varying amounts of coumarins and may therefore theoretically increase the effect of anticoagulant medications.",nsaids,lavender,POSITIVE,1
138,"plasma concentrations of simvastatin and simvastatin acid were determined up to 24 h. results:  <e2> grapefruit </e2>  juice increased the area under the plasma concentration-time curves from 0 to 24 h [auc(0-24)] of  <e1> simvastatin </e1>  3.6-fold (range 1.8-6.0-fold; p < 0.01) and that of simvastatin acid 3.3-fold (range 2.1-5.6-fold; p < 0.01), respectively.",simvastatin,grapefruit,POSITIVE,1
139,"aim: to investigate the effects of ginkgo biloba extract (gbe) and tanshinone (tan) on cytochrome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results:  <e1> cyp1a1 </e1> , 1a2, and 2b1 activities in the liver were all significantly increased (2-9.5 fold) by pretreatment <e2> tan </e2> th gbe or tan (p<0.01).",cyp1a1,tan,POSITIVE,1
140," <e1> khat </e1>  chewing has been shown to reduce the bioavailabilities of orally co-administered antibiotics, ampicillin, amoxicillin, ce <e2> tetracyclinehcl </e2> tracyclinehcl, and the antimalarial drug, chloroquine.",khat,tetracyclinehcl,POSITIVE,2
141," <e1> ginkgo biloba </e1>  extract, advertised as improving cognitive functioning, has been reported to cause spontaneous bleeding, and it may i <e2> anticoagulants and antiplatelet agents </e2> atelet agents.",ginkgo biloba,anticoagulants and antiplatelet agents,POSITIVE,2
142,"by taking advantage of the high protein binding of chan su and only 25% protein binding of digoxin, we further demonstrated that positive interference of  <e1> chan su </e1>  in the fpia and negative interference of chan su in <e2> digoxin </e2> ia of digoxin could be eliminated by monitoring the free digoxin concentration.",chan su,digoxin,POSITIVE,2
143,"for example, when a 20-microl aliquot of an aqueous extract of  <e2> chan su </e2>  powder (1 mg/ml) was added to a 2-ml aliquot of a drug-free serum, the observed  <e1> digoxin </e1> -like immunoreactivity was 2.76 ng/ml (3.53 nmol/l) digoxin equivalent using the fluorescence polarization immunoassay (fpia).",digoxin,chan su,POSITIVE,2
144,"aim of the study: the antithrombotic effect of  <e1> danggui </e1>  and honghua, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thr <e2> their </e2> is, and their potential interactions with clopidogrel were investigated. materials and methods: the efficacy of danggui, honghua alone or combination with clopidogrel was determined in three experimental models.",danggui,their,COREF,2
145,"interactions of several commonly used herbal medicines, such as  <e1> ginko biloba </e1> , milk thistle, and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, iri <e2> imatinib </e2>  and imatinib in humans have been reported.",ginko biloba,imatinib,POSITIVE,2
146,"herbal medicine regimens containing radix bupleuri,  <e1> fructus gardenia </e1> , fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with <e2> clozapine </e2> ne, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",fructus gardenia,clozapine,POSITIVE,2
147,"in transplant patients, self-medication with st john's wort ( <e1> hypericum perforatum </e1> ) has led to a drop in plasma levels of the immunosupp <e2> cyclosporine </e2>  cyclosporine, causing tissue rejection.",hypericum perforatum,cyclosporine,POSITIVE,2
148,and the pharmacokinetic interaction between  <e1> indomethaci <e2> a. officinarum </e2> . officinarum reduced the systemic exposure of indomethacin and increased its elimination.,indomethacin,a. officinarum,POSITIVE,2
149,"aim of the study: the antithrombotic effect of  <e1> danggui </e1>  and honghua, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential inter <e2> clopidogrel </e2> h clopidogrel were investigated. materials and methods: the efficacy of danggui, honghua alone or combination with clopidogrel was determined in three experimental models.",danggui,clopidogrel,SPECULATIVE,2
150,"previous in vitro studies indicate that curcuminoids and  <e1> piperine </e1>  (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit  <e2> cyp2c9 </e2> cyp3a, cyp2c9, ugt and sult dependent drug metabolism.",piperine,cyp2c9,POSITIVE,2
151,coadministration of  <e1> honghu <e2> clopidogrel </e2> d clopidogrel resulted in a 63.5% and 79.7% increase in the auc respectively.,honghua,clopidogrel,POSITIVE,2
152," <e1> khat </e1>  chewing has been shown to reduce the bioavailabilities of orally co-administered antibiotics, ampicillin, amoxicillin, cephradine and tetracyclinehcl, and the antima <e2> chloroquine </e2> , chloroquine.",khat,chloroquine,POSITIVE,2
153,"aim: to investigate the effects of ginkgo biloba extract (gbe) and  <e1> tanshinone </e1>  (tan) on cytochrome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results: cyp1a1, 1a2, and 2b1 activities in the liver were all significantly increased (2-9.5 fold) by pretreatment <e2> tan </e2> th gbe or tan (p<0.01).",tanshinone,tan,COREF,2
154,"subject sedation and electroencephalograph effects were also measured following midazolam dosing. results: compared with placebo, the curcuminoid/ <e1> piperine </e1>  treatment produced no meaningful changes in plasma c(max), auc, clearance, elimination half-life or metaboli <e2> midazolam </e2>  of midazolam, flurbiprofen or paracetamol (α = 0.05, paired t-tests).",piperine,midazolam,NEGATIVE,2
155,"aim: to investigate the effects of ginkgo biloba extract ( <e1> gbe </e1> ) and tanshinone (tan) on cyto <e2> cyp </e2> ome p450 (cyp) isozymes and glutathione transferase (gt) in rats. methods: several cyp-dependent reactions were monitored in liver and kidney microsomes of male rats treated ig with gbe and tan daily for 10 d. the activity of gt, the levels of malondialdehyde (mda) and nitric oxide (no) in the tissues were also determined. results: cyp1a1, 1a2, and 2b1 activities in the liver were all significantly increased (2-9.5 fold) by pretreatment with gbe or tan (p<0.01).",gbe,cyp,SPECULATIVE,2
156,significant (p < 0.001) improvement was observed in the activities of enzymatic and non-enzymatic antioxidants in patients treated with  <e1> sesame </e1>  oil and its comb <e2> glibenclamide </e2> glibenclamide. conclusions: sesame oil exhibited synergistic effect with glibenclamide and can provide a safe and effective option for the drug combination that may be very useful in clinical practice for the effective improvement of hyperglycemia.,sesame,glibenclamide,POSITIVE,2
157,"however, neither  <e1> echinacea </e1>  nor policosanol significan <e2> warfarin </e2> cted warfarin pharmacodynamics, platelet aggregation or baseline clotting status in healthy subjects.",echinacea,warfarin,NEGATIVE,2
158,"isoxanthohumol from hops was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas  <e1> 8-prenylnaringenin </e1>  was the most potent  <e2> cyp1a2 </e2> tor of cyp1a2, cyp2c9 and cyp2c19 with ic50 values of 1.1 μm, 1.1 μm and 0.4 μm, respectively.",8-prenylnaringenin,cyp1a2,POSITIVE,2
159,"), was given to the rabbits and the blood samples were withdrawn at different time intervals (0, 0.5, 1, 1.5, 2, 3, 4, 6, 8, 12, 24 and 36 h) from marginal ear vein after dosing and theophylline in plasma was analyzed by hplc method. results: it was observed that there a significant differences in the cmax, auc, aumc, t1/2, and mrt of  <e1> theophylline </e1>  when coadmin <e2> commiphora myrrha </e2> iphora myrrha which indicate that the herb affect the metabolism and elimination when coadministered with theophylline . conclusion: our results suggested that concurrent use of investigated herb alters the pharmacokinetics of theophylline.",theophylline,commiphora myrrha,POSITIVE,2
160,"radix bupleuri and  <e1> vinegar-baked radix bupleuri </e1>  have strong induction effects on <e2> cyp2d6 </e2> yp2e1, cyp2d6 and cyp3a4, however, have no impact on cyp1a2.",vinegar-baked radix bupleuri,cyp2d6,POSITIVE,2
161,"previous in vitro studies indicate that  <e1> curcuminoids </e1>  and piperine (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit  <e2> cyp2c9 </e2> cyp3a, cyp2c9, ugt and sult dependent drug metabolism.",curcuminoids,cyp2c9,POSITIVE,2
162,"interactions of several commonly used herbal medicines, such as ginko biloba, milk thistle, and  <e1> st. john's wort </e1> , with therapeutic drugs including warfarin, midazolam, alprazolam <e2> saquinavir </e2> r, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",st. john's wort,saquinavir,POSITIVE,2
163,"aims: herbal products, spices and/or fruits are perceived as inherently healthy; for instance, st. john's wort ( <e1> sjw </e1> ) is marketed as a natural antidepressant and patients often self-administer it concom <e2> oncology medications </e2> y medications.",sjw,oncology medications,SPECULATIVE,2
164,"moreover, ligustilide, schisantherin a,  <e1> berberine </e1>  hydrochloride and trans-resveratrol were identified for the first time as efficacious pxr agonists. conclusions: twenty-two tcm ethanol extracts and eight bioactive compounds could activate pxr signalling pathwa <e2> cyp3a4 </e2> induce cyp3a4 reporter gene.",berberine,cyp3a4,POSITIVE,2
165,and the pharmacokinetic interaction between indomethacin and  <e1> a. officinarum </e1>  reduced the systemic <e2> indomethacin </e2>  indomethacin and increased its elimination.,a. officinarum,indomethacin,POSITIVE,2
166,dosing with ginkgo or  <e1> ginger </e1>  was continued for 7 days after administr <e2> warfarin </e2>  the warfarin dose.,ginger,warfarin,SPECULATIVE,2
167,"however, both  <e1> danggui </e1>  and honghua significantly potentiated the prolongati <e2> clopidogrel </e2> y clopidogrel on the tail bleeding time and pt. conclusions: danggui and honghua possess antithrombotic activity and cannot potentiate the antithrombotic effect of clopidogrel.",danggui,clopidogrel,POSITIVE,2
168,"other herbal remedies with the potential to modulate  <e2> cytochrome p450 </e2>  activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica, ginseng, garlic preparations, danshen and  <e1> liquorice </e1> .",liquorice,cytochrome p450,POSITIVE,2
169,"moreover, ligustilide,  <e1> schisantherin a </e1> , berberine hydrochloride and trans-resveratrol were identified for the first time as efficacious pxr agonists. conclusions: twenty-two tcm ethanol extracts and eight bioactive compounds could activate pxr signalling pathwa <e2> cyp3a4 </e2> induce cyp3a4 reporter gene.",schisantherin a,cyp3a4,POSITIVE,2
170,"herbal medicine regimens containing radix bupleuri, fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and  <e1> semen plantaginis </e1>  in concomitant use with <e2> clozapine </e2> ne, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",semen plantaginis,clozapine,POSITIVE,2
171,readministration of  <e1> felodipine <e2> grapefruit </e2> th grapefruit juice produced mean felodipine auc (61.5 +/- 32.2 ng ml-1 h) and cmax (8.4 +/- 4.8 ng ml-1) which were similar to the initial grapefruit juice treatment 1-3 weeks previously.,felodipine,grapefruit,NEGATIVE,2
172,"herbal medicine regimens containing  <e1> radix bupleuri </e1> , fructus gardenia, fructus schisandrae, radix rehmanniae, akebia caulis, and semen plantaginis in concomit <e2> quetiapine </e2> th quetiapine, clozapine, and olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",radix bupleuri,quetiapine,POSITIVE,2
173,"in this study, the pk parameters of  <e1> atenolol </e1>  responded in a dose-depende <e2> apple </e2> nner to apple juice. conclusions: apple juice markedly reduced systemic exposure to atenolol.",atenolol,apple,SPECULATIVE,2
174,"isoxanthohumol from hops was the most potent inhibitor of cyp2c8 with an ic50 of 0.2 μm, whereas  <e1> 8-prenylnaringenin </e1>  was the most potent inhibito <e2> cyp2c9 </e2> yp1a2, cyp2c9 and cyp2c19 with ic50 values of 1.1 μm, 1.1 μm and 0.4 μm, respectively.",8-prenylnaringenin,cyp2c9,POSITIVE,2
175,"previous in vitro studies indicate that  <e1> curcuminoids </e1>  and piperine (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, cyp <e2> sult </e2>  ugt and sult dependent drug metabolism.",curcuminoids,sult,POSITIVE,2
176,synergistic effects (ci < 1) for  <e1> p. emblica </e1> /do <e2> cisplatin </e2>  or cisplatin at different dose levels were demonstrated in a549 and hepg2 cells.,p. emblica,cisplatin,POSITIVE,2
177," <e1> radix bupleuri </e1>  and vinegar-baked radix bupleuri have strong induction ef <e2> cyp2e1 </e2> on the cyp2e1, cyp2d6 and cyp3a4, however, have no impact on cyp1a2.",radix bupleuri,cyp2e1,POSITIVE,2
178,"moreover, ligustilide, schisantherin a, berberine  <e1> hydrochloride </e1>  and trans-resveratrol were identified for the first time as efficacious pxr agonists. conclusions: twenty-two tcm ethanol extracts and eight bioactive compounds could activate pxr signalling pathwa <e2> cyp3a4 </e2> induce cyp3a4 reporter gene.",hydrochloride,cyp3a4,POSITIVE,2
179,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, <e2> irinotecan </e2> s, irinotecan, and imatinib in humans have been reported.",milk thistle,irinotecan,POSITIVE,2
180,"in order to investigate the influence of  <e1> rhodiola rosea l. </e1>  roots on mood disorders, three extracts were tested against monoami <e2> maos a and b </e2> (maos a and b) in a microtitre plate bioassay. materials and methods: methanol and water extracts gave the highest inhibitory activity against maos.",rhodiola rosea l.,maos a and b,POSITIVE,2
181,patients detected with hiv or cancer often consume herbal products especially st. john's wort ( <e1> sjw </e1> ) for antidepressants in comb <e2> prescription medicines </e2> ion medicines.,sjw,prescription medicines,SPECULATIVE,2
182,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs including warfarin, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, iri <e2> imatinib </e2>  and imatinib in humans have been reported.",milk thistle,imatinib,POSITIVE,2
